001,0,0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae,Cholera d/t vib cholerae
001,1,0011,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor
001,9,0019,Cholera NOS,"Cholera, unspecified",Cholera NOS
002,0,0020,Typhoid fever,Typhoid fever,Typhoid fever
002,1,0021,Paratyphoid fever a,Paratyphoid fever A,Paratyphoid fever a
002,2,0022,Paratyphoid fever b,Paratyphoid fever B,Paratyphoid fever b
002,3,0023,Paratyphoid fever c,Paratyphoid fever C,Paratyphoid fever c
002,9,0029,Paratyphoid fever NOS,"Paratyphoid fever, unspecified",Paratyphoid fever NOS
003,0,0030,Salmonella enteritis,Salmonella gastroenteritis,Salmonella enteritis
003,1,0031,Salmonella septicemia,Salmonella septicemia,Salmonella septicemia
003,20,00320,Local salmonella inf NOS,"Localized salmonella infection, unspecified",Local salmonella inf NOS
003,21,00321,Salmonella meningitis,Salmonella meningitis,Salmonella meningitis
003,22,00322,Salmonella pneumonia,Salmonella pneumonia,Salmonella pneumonia
003,23,00323,Salmonella arthritis,Salmonella arthritis,Salmonella arthritis
003,24,00324,Salmonella osteomyelitis,Salmonella osteomyelitis,Salmonella osteomyelitis
003,29,00329,Local salmonella inf NEC,Other localized salmonella infections,Local salmonella inf NEC
003,8,0038,Salmonella infection NEC,Other specified salmonella infections,Salmonella infection NEC
003,9,0039,Salmonella infection NOS,"Salmonella infection, unspecified",Salmonella infection NOS
004,0,0040,Shigella dysenteriae,Shigella dysenteriae,Shigella dysenteriae
004,1,0041,Shigella flexneri,Shigella flexneri,Shigella flexneri
004,2,0042,Shigella boydii,Shigella boydii,Shigella boydii
004,3,0043,Shigella sonnei,Shigella sonnei,Shigella sonnei
004,8,0048,Shigella infection NEC,Other specified shigella infections,Shigella infection NEC
004,9,0049,Shigellosis NOS,"Shigellosis, unspecified",Shigellosis NOS
005,0,0050,Staph food poisoning,Staphylococcal food poisoning,Staph food poisoning
005,1,0051,Botulism food poisoning,Botulism food poisoning,Botulism food poisoning
005,2,0052,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin
005,3,0053,Food pois: clostrid NEC,Food poisoning due to other Clostridia,Food pois: clostrid NEC
005,4,0054,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem
005,81,00581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif
005,89,00589,Bact food poisoning NEC,Other bacterial food poisoning,Bact food poisoning NEC
005,9,0059,Food poisoning NOS,"Food poisoning, unspecified",Food poisoning NOS
006,0,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess
006,1,0061,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces
006,2,0062,Amebic nondysent colitis,Amebic nondysenteric colitis,Amebic nondysent colitis
006,3,0063,Amebic liver abscess,Amebic liver abscess,Amebic liver abscess
006,4,0064,Amebic lung abscess,Amebic lung abscess,Amebic lung abscess
006,5,0065,Amebic brain abscess,Amebic brain abscess,Amebic brain abscess
006,6,0066,Amebic skin ulceration,Amebic skin ulceration,Amebic skin ulceration
006,8,0068,Amebic infection NEC,Amebic infection of other sites,Amebic infection NEC
006,9,0069,Amebiasis NOS,"Amebiasis, unspecified",Amebiasis NOS
007,0,0070,Balantidiasis,Balantidiasis,Balantidiasis
007,1,0071,Giardiasis,Giardiasis,Giardiasis
007,2,0072,Coccidiosis,Coccidiosis,Coccidiosis
007,3,0073,Intest trichomoniasis,Intestinal trichomoniasis,Intest trichomoniasis
007,4,0074,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis
007,5,0075,Cyclosporiasis,Cyclosporiasis,Cyclosporiasis
007,8,0078,Protozoal intest dis NEC,Other specified protozoal intestinal diseases,Protozoal intest dis NEC
007,9,0079,Protozoal intest dis NOS,Unspecified protozoal intestinal disease,Protozoal intest dis NOS
008,00,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified",Intest infec e coli NOS
008,01,00801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath
008,02,00802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn
008,03,00803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv
008,04,00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg
008,09,00809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC
008,1,0081,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis
008,2,0082,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis
008,3,0083,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis
008,41,00841,Staphylococc enteritis,Intestinal infection due to staphylococcus,Staphylococc enteritis
008,42,00842,Pseudomonas enteritis,Intestinal infection due to pseudomonas,Pseudomonas enteritis
008,43,00843,Int infec campylobacter,Intestinal infection due to campylobacter,Int infec campylobacter
008,44,00844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca
008,45,00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile
008,46,00846,Intes infec oth anerobes,Intestinal infection due to other anaerobes,Intes infec oth anerobes
008,47,00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr
008,49,00849,Bacterial enteritis NEC,Intestinal infection due to other organisms,Bacterial enteritis NEC
008,5,0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",Bacterial enteritis NOS
008,61,00861,Intes infec rotavirus,Enteritis due to rotavirus,Intes infec rotavirus
008,62,00862,Intes infec adenovirus,Enteritis due to adenovirus,Intes infec adenovirus
008,63,00863,Int inf norwalk virus,Enteritis due to norwalk virus,Int inf norwalk virus
008,64,00864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's],Int inf oth sml rnd vrus
008,65,00865,Enteritis d/t calicivirs,Enteritis due to calicivirus,Enteritis d/t calicivirs
008,66,00866,Intes infec astrovirus,Enteritis due to astrovirus,Intes infec astrovirus
008,67,00867,Int inf enterovirus NEC,Enteritis due to enterovirus nec,Int inf enterovirus NEC
008,69,00869,Other viral intes infec,Enteritis due to other viral enteritis,Other viral intes infec
008,8,0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",Viral enteritis NOS
009,0,0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",Infectious enteritis NOS
009,1,0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",Enteritis of infect orig
009,2,0092,Infectious diarrhea NOS,Infectious diarrhea,Infectious diarrhea NOS
009,3,0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin,Diarrhea of infect orig
010,00,01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified",Prim TB complex-unspec
010,01,01001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done",Prim TB complex-no exam
010,02,01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",Prim TB complex-exm unkn
010,03,01003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",Prim TB complex-micro dx
010,04,01004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB complex-cult dx
010,05,01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB complex-histo dx
010,06,01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB complex-oth test
010,10,01010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",Prim TB pleurisy-unspec
010,11,01011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",Prim TB pleurisy-no exam
010,12,01012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",Prim TB pleur-exam unkn
010,13,01013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",Prim TB pleuris-micro dx
010,14,01014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Prim TB pleurisy-cult dx
010,15,01015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Prim TB pleuris-histo dx
010,16,01016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Prim TB pleuris-oth test
010,80,01080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified",Prim prog TB NEC-unspec
010,81,01081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done",Prim prog TB NEC-no exam
